H2S,TVOC,CO,SO2,Nox,RH,T,SO2,CO,NOx,THC,THC - NMHC
1880,1583,1535,783,896,44.3,18.1,3.7,0.43,19.4,2.24,2.16
1871,1582,1535,762,871,44,17.4,3.2,0.43,25.2,2.26,2.17
1868,1575,1535,759,866,43.6,17,2.7,0.48,14.8,2.29,2.18
1860,1569,1535,752,851,43.7,16.4,2.8,0.49,14.4,2.31,2.2
1859,1568,1534,755,848,43.5,16.5,3.1,0.56,22.4,2.38,2.25
1843,1543,1520,740,842,43,16.5,3.5,0.59,25.2,2.42,2.26
1842,1543,1521,738,833,43.1,16,3.8,0.62,23.8,2.42,2.27
1837,1535,1511,736,830,43,16,4.2,0.65,30.3,2.47,2.3
1841,1535,1515,752,828,43.2,15.9,3.2,0.63,30.7,2.5,2.31
1873,1581,1529,823,835,43.3,16.4,2.4,0.59,25.3,2.52,2.3
1970,1669,1586,983,866,41.4,24,2.5,0.58,25.3,2.62,2.39
2018,1718,1620,1069,890,41,28,2.3,0.5,29.8,2.47,2.31
2111,1820,1726,1171,959,39,35,2.1,0.48,30.8,2.53,2.37
2113,1828,1723,1162,981,37.7,37.7,1.7,0.47,25.5,2.43,2.26
2127,1827,1729,1149,996,40.7,35.8,1.8,0.49,25.3,2.61,2.4
2135,1835,1735,1161,1009,41.4,35.7,1.1,0.5,24.8,2.61,2.41
2126,1839,1742,1140,1008,40.8,36.1,1.9,0.6,24.8,2.57,2.39
2060,1772,1701,1010,982,43.2,31.7,2.3,0.5,26.3,2.49,2.34
2026,1744,1688,958,970,44.6,28.3,2.9,0.49,29.2,2.43,2.27
1973,1705,1669,884,933,45.5,23.6,3.3,0.49,13.2,2.34,2.22
1968,1693,1665,862,915,45.9,21.7,3.1,0.45,12.4,2.32,2.21
1939,1673,1650,832,898,45.2,20.8,2.5,0.41,12.1,2.26,2.19
1930,1663,1644,819,883,45.2,19.8,2.9,0.4,12.6,2.24,2.18
1906,1645,1629,799,871,44.9,18.8,2,0.36,12.5,2.23,2.17
1903,1641,1624,796,858,44.7,18.4,1.4,0.37,14.6,2.25,2.19
1892,1631,1616,784,849,44.6,18.1,1.9,0.41,11.9,2.27,2.2
1876,1616,1600,777,837,44.4,17.8,2,0.44,19.1,2.32,2.23
1872,1610,1596,770,835,44.2,17.6,2.4,0.55,27.9,2.39,2.26
1866,1601,1586,774,821,44.1,17.2,2,0.55,22.6,2.41,2.28
1860,1593,1581,768,819,44,17,2.5,0.62,24.4,2.44,2.31
1850,1587,1568,766,807,43.6,17.2,2.8,0.63,27.2,2.48,2.33
1848,1583,1564,763,806,43.7,16.9,2.8,0.66,28.4,2.47,2.33
1850,1583,1559,777,800,43.9,16.8,2.9,0.57,21.2,2.44,2.3
1875,1604,1562,835,811,43.8,17.8,2.8,0.49,20.1,2.43,2.3
1939,1660,1595,944,822,43.1,20.6,2.6,0.51,18.8,2.46,2.32
2012,1731,1644,1050,855,40.2,29.1,2.4,0.48,16.7,2.46,2.33
2041,1762,1677,1094,880,39.6,31.9,2.4,0.45,21.3,2.43,2.3
2081,1807,1718,1119,912,39,35.1,2.4,0.46,22.5,2.37,2.27
2082,1797,1710,1108,919,39.6,35,2.2,0.5,14.7,2.43,2.31
2119,1828,1730,1139,955,40.9,35.9,1.6,0.49,12.8,2.44,2.32
2065,1786,1711,1050,941,40.4,36,2.5,0.51,28.4,2.43,2.31
2057,1777,1707,1035,934,44,30.6,2.9,0.5,29.1,2.39,2.28
2001,1732,1687,942,912,44.9,27.2,3.3,0.51,20.4,2.38,2.27
1980,1715,1682,908,895,45.4,25.2,3.7,0.46,16.2,2.36,2.26
1956,1699,1674,867,871,45.5,22.3,3.3,0.42,21.7,2.34,2.25
1945,1686,1667,859,869,45.4,21.7,3.4,0.46,23.7,2.32,2.24
1931,1672,1655,838,850,44.9,21,2.8,0.38,7.6,2.26,2.2
1923,1665,1647,835,845,44.7,20.7,3.3,0.4,9,2.3,2.22
1907,1657,1638,820,831,44.4,20,2.6,0.46,10.6,2.34,2.24
1907,1652,1634,813,831,44.4,19.8,2.9,0.48,11.9,2.36,2.26
1903,1646,1622,808,822,44.2,19.7,2.9,0.5,13.4,2.37,2.26
1894,1639,1615,814,812,44,19.5,2.5,0.48,13,2.37,2.26
1890,1634,1613,811,816,43.9,19.6,3,0.47,16.7,2.39,2.28
1885,1629,1610,796,803,43.6,19.4,3.2,0.49,21.3,2.41,2.29
1879,1623,1605,799,801,43.7,18.9,3,0.5,18.7,2.4,2.28
1867,1614,1595,776,790,43.7,18.5,3,0.53,20,2.39,2.28
1863,1607,1592,780,785,43.8,18,2.4,0.57,23.1,2.44,2.32
1977,1711,1648,974,815,44.7,21.5,1.9,0.51,21,2.41,2.3
2033,1766,1683,1055,835,41.7,27.5,2.7,0.63,24.1,2.44,2.33
2084,1810,1728,1113,858,40.3,31.8,2.7,0.57,25.9,2.42,2.3
2112,1854,1776,1153,883,39,34.8,3,0.72,26.8,2.48,2.33
2174,1928,1853,1202,946,38.8,38.3,2.7,0.54,20.9,2.45,2.31
2191,1940,1863,1191,959,40.1,37.9,1.8,0.54,33.6,2.51,2.37
2198,1957,1887,1184,976,41.3,37.7,1.1,0.52,26.8,2.54,2.4
2198,1943,1875,1176,985,41.8,37.2,1.8,0.66,30.2,2.54,2.38
2147,1890,1837,1101,963,42.3,36.4,3.5,0.62,36.9,2.45,2.3
2100,1850,1822,1007,946,43.5,33,4.2,0.64,26.8,2.44,2.3
2042,1807,1801,923,909,46.9,25,3.7,0.59,25,2.41,2.3
2031,1799,1796,921,900,47.2,23.7,3.2,0.54,20.8,2.33,2.25
2021,1792,1788,903,883,46.2,23.1,1.3,0.44,11.1,2.29,2.23
2015,1790,1790,898,880,46.2,23,2.2,0.4,12.2,2.24,2.2
1990,1764,1769,884,864,45.6,22.3,1.9,0.42,14.5,2.24,2.2
1981,1755,1760,878,849,45.8,21.7,2.3,0.45,15,2.27,2.24
1973,1746,1744,874,848,45.6,21.3,2.2,0.51,18.8,2.3,2.22
1975,1744,1739,880,848,45.5,21.7,1.3,0.52,21.4,2.31,2.23
1970,1741,1734,891,842,45,22.3,1.4,0.53,30.5,2.33,2.25
1962,1731,1719,886,842,44.7,22.5,1.8,0.63,30.9,2.38,2.28
1950,1719,1709,873,832,44.7,22.3,2,0.6,16.3,2.39,2.28
1932,1700,1689,855,825,45,21,2,0.58,19.7,2.37,2.27
1934,1700,1684,862,821,45,20.8,2,0.56,20.2,2.38,2.28
1935,1696,1677,879,818,44.8,21.5,2,0.55,17.1,2.4,2.29
1942,1705,1677,900,822,44.6,22.1,2.2,0.56,15.5,2.41,2.3
1978,1735,1683,965,838,43.9,25,2.3,0.52,12.1,2.38,2.28
2006,1767,1712,1008,843,43.6,26.4,2.2,0.54,17.3,2.38,2.29
2066,1822,1749,1096,863,42.7,28.9,2.3,0.53,16.8,2.41,2.32
2106,1863,1786,1144,880,40.8,33.4,2.6,0.53,10.2,2.38,2.29
2169,1936,1855,1201,918,39.3,37.8,2.4,0.53,10.4,2.42,2.32
2190,1955,1872,1219,943,40.7,38.4,1.6,0.53,15.3,2.47,2.35
2223,2002,1928,1234,957,41.5,38.5,2.2,0.54,27.4,2.46,2.35
2374,2193,2233,1179,976,42.8,37.5,2.2,0.56,26.8,2.46,2.33
2420,2260,2357,1123,955,44.1,35.1,2.2,0.57,34.4,2.39,2.27
2470,2334,2487,1059,943,46.5,31.1,2.3,0.51,35.8,2.43,2.29
2537,2431,2651,1005,915,48.2,26,2.7,0.52,24.8,2.42,2.28
2557,2458,2703,987,905,48,25,1.9,0.52,16.5,2.44,2.27
2581,2489,2756,970,894,47.5,23.7,2.5,0.46,15.9,2.3,2.22
2551,2467,2737,967,883,47.5,23.2,3.2,0.48,18.4,2.31,2.23
2496,2411,2684,945,874,46.9,22.7,4.6,0.52,22.8,2.32,2.23
2473,2384,2663,937,867,46.7,22.5,4.3,0.53,23.6,2.36,2.26
2435,2351,2624,919,854,46.5,21.7,4.1,0.54,25.4,2.38,2.28
2417,2328,2605,924,853,46.5,21.7,2.7,0.52,23.6,2.38,2.26
2395,2309,2582,909,848,46.2,21.7,2.5,0.48,18.9,2.41,2.27
2361,2273,2542,891,836,46,21.1,2.1,0.51,22.3,2.45,2.32
2344,2254,2522,892,835,46,20.8,1.7,0.5,22.1,2.54,2.37
2309,2216,2478,880,823,45.9,20.3,2.6,0.55,21.7,2.64,2.49
2295,2200,2459,888,820,45.8,20.2,3.3,0.57,18,2.66,2.5
2325,2220,2415,1065,851,46.2,23.1,2.6,0.54,19.7,2.68,2.51
2353,2235,2405,1138,867,43.1,29.7,1.6,0.52,26,2.68,2.5
2515,2412,2557,1281,929,39.5,38.7,1.5,0.55,26.7,2.78,2.55
2598,2495,2659,1307,960,38.7,41.8,1.4,0.56,28,2.82,2.61
-200,-200,-200,-200,-200,-200,-200,1.3,0.56,34.8,2.97,2.66
2760,2674,2870,1295,1006,40,42.4,1.1,0.5,28,3.21,2.73
2808,2735,2944,1307,1009,42.5,40.4,0.7,0.52,32.9,3.31,2.82
2895,2832,3056,1296,1010,43.9,39.1,1,0.79,48.5,3.59,2.87
2924,2864,3105,1291,1014,42.4,40.7,1.6,0.82,51.3,3.52,2.99
2961,2914,3188,1166,987,44.7,36.7,2.8,0.64,31.3,3,2.71
2983,2941,3221,1109,970,48,31.2,2.4,0.46,17.3,2.59,2.38
3003,2961,3248,1069,951,49,28.3,2,0.41,17.4,2.43,2.3
3027,2989,3269,1042,927,49,25.7,3.1,0.36,14.6,2.41,2.28
3041,3000,3280,1027,923,48.5,25,5.1,0.4,17.9,2.37,2.29
3060,3014,3289,1000,906,48.4,23.3,4,0.43,17.2,2.36,2.27
3066,3021,3291,999,894,48,23,3.8,0.37,15.6,2.27,2.22
3075,3020,3290,984,881,47.4,22.6,3.8,0.38,14.9,2.27,2.22
3082,3024,3294,976,878,47.4,22.2,1.9,0.45,18.9,2.28,2.18
3087,3023,3291,966,869,47.1,21.7,1,0.43,23.5,2.23,2.18
3078,3015,3287,959,861,46.9,21.6,0.5,0.49,39.9,2.28,2.26
3068,3010,3281,963,857,46.7,21.5,0.4,0.56,30.3,2.4,2.31
3072,3005,3279,953,846,46.5,21.1,0.6,0.51,39.8,2.43,2.31
3073,3005,3279,949,847,46.4,20.9,0.1,0.51,45.3,2.52,2.41
3064,3003,3277,964,835,46.4,20.5,1.3,0.38,16,2.45,2.35
