H2S,TVOC,CO,SO2,NOx,RH,T,H2S(GT),TVOC(GT),CO(GT),SO2(GT),NOx(GT)
2020,1696,1588,1022,1023,41.8,31.7,2.29,2.47,0.58,4,45.3
1980,1655,1568,944,1006,42.5,29.9,2.31,2.49,0.56,4.1,37
1949,1630,1558,881,982,44.5,25.1,2.27,2.42,0.53,4.7,37
1920,1608,1555,832,946,45.5,20.7,2.23,2.37,0.49,4.2,30
1911,1604,1554,826,941,45.3,19.7,2.2,2.3,0.46,3.6,16.4
1896,1588,1535,800,912,44.7,19,2.17,2.24,0.44,3.4,13.8
1886,1588,1539,787,900,44.4,18.5,2.15,2.24,0.41,4.3,18.3
1880,1583,1535,783,896,44.3,18.1,2.16,2.24,0.43,3.7,19.4
1871,1582,1535,762,871,44,17.4,2.17,2.26,0.43,3.2,25.2
1868,1575,1535,759,866,43.6,17,2.18,2.29,0.48,2.7,14.8
1860,1569,1535,752,851,43.7,16.4,2.2,2.31,0.49,2.8,14.4
1859,1568,1534,755,848,43.5,16.5,2.25,2.38,0.56,3.1,22.4
1843,1543,1520,740,842,43,16.5,2.26,2.42,0.59,3.5,25.2
1842,1543,1521,738,833,43.1,16,2.27,2.42,0.62,3.8,23.8
1837,1535,1511,736,830,43,16,2.3,2.47,0.65,4.2,30.3
1841,1535,1515,752,828,43.2,15.9,2.31,2.5,0.63,3.2,30.7
1873,1581,1529,823,835,43.3,16.4,2.3,2.52,0.59,2.4,25.3
1970,1669,1586,983,866,41.4,24,2.39,2.62,0.58,2.5,25.3
2018,1718,1620,1069,890,41,28,2.31,2.47,0.5,2.3,29.8
2111,1820,1726,1171,959,39,35,2.37,2.53,0.48,2.1,30.8
2113,1828,1723,1162,981,37.7,37.7,2.26,2.43,0.47,1.7,25.5
2127,1827,1729,1149,996,40.7,35.8,2.4,2.61,0.49,1.8,25.3
2135,1835,1735,1161,1009,41.4,35.7,2.41,2.61,0.5,1.1,24.8
2126,1839,1742,1140,1008,40.8,36.1,2.39,2.57,0.6,1.9,24.8
2060,1772,1701,1010,982,43.2,31.7,2.34,2.49,0.5,2.3,26.3
2026,1744,1688,958,970,44.6,28.3,2.27,2.43,0.49,2.9,29.2
1973,1705,1669,884,933,45.5,23.6,2.22,2.34,0.49,3.3,13.2
1968,1693,1665,862,915,45.9,21.7,2.21,2.32,0.45,3.1,12.4
1939,1673,1650,832,898,45.2,20.8,2.19,2.26,0.41,2.5,12.1
1930,1663,1644,819,883,45.2,19.8,2.18,2.24,0.4,2.9,12.6
1906,1645,1629,799,871,44.9,18.8,2.17,2.23,0.36,2,12.5
1903,1641,1624,796,858,44.7,18.4,2.19,2.25,0.37,1.4,14.6
1892,1631,1616,784,849,44.6,18.1,2.2,2.27,0.41,1.9,11.9
1876,1616,1600,777,837,44.4,17.8,2.23,2.32,0.44,2,19.1
1872,1610,1596,770,835,44.2,17.6,2.26,2.39,0.55,2.4,27.9
1866,1601,1586,774,821,44.1,17.2,2.28,2.41,0.55,2,22.6
1860,1593,1581,768,819,44,17,2.31,2.44,0.62,2.5,24.4
1850,1587,1568,766,807,43.6,17.2,2.33,2.48,0.63,2.8,27.2
1848,1583,1564,763,806,43.7,16.9,2.33,2.47,0.66,2.8,28.4
1850,1583,1559,777,800,43.9,16.8,2.3,2.44,0.57,2.9,21.2
1875,1604,1562,835,811,43.8,17.8,2.3,2.43,0.49,2.8,20.1
1939,1660,1595,944,822,43.1,20.6,2.32,2.46,0.51,2.6,18.8
2012,1731,1644,1050,855,40.2,29.1,2.33,2.46,0.48,2.4,16.7
2041,1762,1677,1094,880,39.6,31.9,2.3,2.43,0.45,2.4,21.3
2081,1807,1718,1119,912,39,35.1,2.27,2.37,0.46,2.4,22.5
2082,1797,1710,1108,919,39.6,35,2.31,2.43,0.5,2.2,14.7
2119,1828,1730,1139,955,40.9,35.9,2.32,2.44,0.49,1.6,12.8
2065,1786,1711,1050,941,40.4,36,2.31,2.43,0.51,2.5,28.4
2057,1777,1707,1035,934,44,30.6,2.28,2.39,0.5,2.9,29.1
2001,1732,1687,942,912,44.9,27.2,2.27,2.38,0.51,3.3,20.4
1980,1715,1682,908,895,45.4,25.2,2.26,2.36,0.46,3.7,16.2
1956,1699,1674,867,871,45.5,22.3,2.25,2.34,0.42,3.3,21.7
1945,1686,1667,859,869,45.4,21.7,2.24,2.32,0.46,3.4,23.7
1931,1672,1655,838,850,44.9,21,2.2,2.26,0.38,2.8,7.6
1923,1665,1647,835,845,44.7,20.7,2.22,2.3,0.4,3.3,9
1907,1657,1638,820,831,44.4,20,2.24,2.34,0.46,2.6,10.6
1907,1652,1634,813,831,44.4,19.8,2.26,2.36,0.48,2.9,11.9
1903,1646,1622,808,822,44.2,19.7,2.26,2.37,0.5,2.9,13.4
1894,1639,1615,814,812,44,19.5,2.26,2.37,0.48,2.5,13
1890,1634,1613,811,816,43.9,19.6,2.28,2.39,0.47,3,16.7
1885,1629,1610,796,803,43.6,19.4,2.29,2.41,0.49,3.2,21.3
1879,1623,1605,799,801,43.7,18.9,2.28,2.4,0.5,3,18.7
1867,1614,1595,776,790,43.7,18.5,2.28,2.39,0.53,3,20
1863,1607,1592,780,785,43.8,18,2.32,2.44,0.57,2.4,23.1
1977,1711,1648,974,815,44.7,21.5,2.3,2.41,0.51,1.9,21
2033,1766,1683,1055,835,41.7,27.5,2.33,2.44,0.63,2.7,24.1
2084,1810,1728,1113,858,40.3,31.8,2.3,2.42,0.57,2.7,25.9
2112,1854,1776,1153,883,39,34.8,2.33,2.48,0.72,3,26.8
2174,1928,1853,1202,946,38.8,38.3,2.31,2.45,0.54,2.7,20.9
2191,1940,1863,1191,959,40.1,37.9,2.37,2.51,0.54,1.8,33.6
2198,1957,1887,1184,976,41.3,37.7,2.4,2.54,0.52,1.1,26.8
2198,1943,1875,1176,985,41.8,37.2,2.38,2.54,0.66,1.8,30.2
2147,1890,1837,1101,963,42.3,36.4,2.3,2.45,0.62,3.5,36.9
2100,1850,1822,1007,946,43.5,33,2.3,2.44,0.64,4.2,26.8
2042,1807,1801,923,909,46.9,25,2.3,2.41,0.59,3.7,25
2031,1799,1796,921,900,47.2,23.7,2.25,2.33,0.54,3.2,20.8
2021,1792,1788,903,883,46.2,23.1,2.23,2.29,0.44,1.3,11.1
2015,1790,1790,898,880,46.2,23,2.2,2.24,0.4,2.2,12.2
1990,1764,1769,884,864,45.6,22.3,2.2,2.24,0.42,1.9,14.5
1981,1755,1760,878,849,45.8,21.7,2.24,2.27,0.45,2.3,15
1973,1746,1744,874,848,45.6,21.3,2.22,2.3,0.51,2.2,18.8
1975,1744,1739,880,848,45.5,21.7,2.23,2.31,0.52,1.3,21.4
1970,1741,1734,891,842,45,22.3,2.25,2.33,0.53,1.4,30.5
1962,1731,1719,886,842,44.7,22.5,2.28,2.38,0.63,1.8,30.9
1950,1719,1709,873,832,44.7,22.3,2.28,2.39,0.6,2,16.3
1932,1700,1689,855,825,45,21,2.27,2.37,0.58,2,19.7
1934,1700,1684,862,821,45,20.8,2.28,2.38,0.56,2,20.2
1935,1696,1677,879,818,44.8,21.5,2.29,2.4,0.55,2,17.1
1942,1705,1677,900,822,44.6,22.1,2.3,2.41,0.56,2.2,15.5
1978,1735,1683,965,838,43.9,25,2.28,2.38,0.52,2.3,12.1
2006,1767,1712,1008,843,43.6,26.4,2.29,2.38,0.54,2.2,17.3
2066,1822,1749,1096,863,42.7,28.9,2.32,2.41,0.53,2.3,16.8
2106,1863,1786,1144,880,40.8,33.4,2.29,2.38,0.53,2.6,10.2
2169,1936,1855,1201,918,39.3,37.8,2.32,2.42,0.53,2.4,10.4
2190,1955,1872,1219,943,40.7,38.4,2.35,2.47,0.53,1.6,15.3
2223,2002,1928,1234,957,41.5,38.5,2.35,2.46,0.54,2.2,27.4
2374,2193,2233,1179,976,42.8,37.5,2.33,2.46,0.56,2.2,26.8
2420,2260,2357,1123,955,44.1,35.1,2.27,2.39,0.57,2.2,34.4
2470,2334,2487,1059,943,46.5,31.1,2.29,2.43,0.51,2.3,35.8
2537,2431,2651,1005,915,48.2,26,2.28,2.42,0.52,2.7,24.8
2557,2458,2703,987,905,48,25,2.27,2.44,0.52,1.9,16.5
2581,2489,2756,970,894,47.5,23.7,2.22,2.3,0.46,2.5,15.9
2551,2467,2737,967,883,47.5,23.2,2.23,2.31,0.48,3.2,18.4
2496,2411,2684,945,874,46.9,22.7,2.23,2.32,0.52,4.6,22.8
2473,2384,2663,937,867,46.7,22.5,2.26,2.36,0.53,4.3,23.6
2435,2351,2624,919,854,46.5,21.7,2.28,2.38,0.54,4.1,25.4
2417,2328,2605,924,853,46.5,21.7,2.26,2.38,0.52,2.7,23.6
2395,2309,2582,909,848,46.2,21.7,2.27,2.41,0.48,2.5,18.9
2361,2273,2542,891,836,46,21.1,2.32,2.45,0.51,2.1,22.3
2344,2254,2522,892,835,46,20.8,2.37,2.54,0.5,1.7,22.1
2309,2216,2478,880,823,45.9,20.3,2.49,2.64,0.55,2.6,21.7
2295,2200,2459,888,820,45.8,20.2,2.5,2.66,0.57,3.3,18
2325,2220,2415,1065,851,46.2,23.1,2.51,2.68,0.54,2.6,19.7
2353,2235,2405,1138,867,43.1,29.7,2.5,2.68,0.52,1.6,26
2515,2412,2557,1281,929,39.5,38.7,2.55,2.78,0.55,1.5,26.7
2598,2495,2659,1307,960,38.7,41.8,2.61,2.82,0.56,1.4,28
-200,-200,-200,-200,-200,-200,-200,2.66,2.97,0.56,1.3,34.8
2760,2674,2870,1295,1006,40,42.4,2.73,3.21,0.5,1.1,28
2808,2735,2944,1307,1009,42.5,40.4,2.82,3.31,0.52,0.7,32.9
2895,2832,3056,1296,1010,43.9,39.1,2.87,3.59,0.79,1,48.5
2924,2864,3105,1291,1014,42.4,40.7,2.99,3.52,0.82,1.6,51.3
2961,2914,3188,1166,987,44.7,36.7,2.71,3,0.64,2.8,31.3
2983,2941,3221,1109,970,48,31.2,2.38,2.59,0.46,2.4,17.3
3003,2961,3248,1069,951,49,28.3,2.3,2.43,0.41,2,17.4
3027,2989,3269,1042,927,49,25.7,2.28,2.41,0.36,3.1,14.6
3041,3000,3280,1027,923,48.5,25,2.29,2.37,0.4,5.1,17.9
3060,3014,3289,1000,906,48.4,23.3,2.27,2.36,0.43,4,17.2
3066,3021,3291,999,894,48,23,2.22,2.27,0.37,3.8,15.6
3075,3020,3290,984,881,47.4,22.6,2.22,2.27,0.38,3.8,14.9
3082,3024,3294,976,878,47.4,22.2,2.18,2.28,0.45,1.9,18.9
3087,3023,3291,966,869,47.1,21.7,2.18,2.23,0.43,1,23.5
3078,3015,3287,959,861,46.9,21.6,2.26,2.28,0.49,0.5,39.9
3068,3010,3281,963,857,46.7,21.5,2.31,2.4,0.56,0.4,30.3
3072,3005,3279,953,846,46.5,21.1,2.31,2.43,0.51,0.6,39.8
3073,3005,3279,949,847,46.4,20.9,2.41,2.52,0.51,0.1,45.3
3064,3003,3277,964,835,46.4,20.5,2.35,2.45,0.38,1.3,16
3053,3023,3286,1064,849,46.5,21.1,2.46,2.59,0.4,2.7,17
3057,3055,3312,1245,894,43.1,32.2,2.59,2.76,0.41,4,22.2
3070,3070,3320,1305,919,41.3,37.2,2.59,2.8,0.4,4.6,19
3115,3112,3346,1361,970,39.3,42.5,2.61,2.79,0.42,4.3,18.6
3124,3117,3350,1344,982,39.2,43.5,2.82,2.94,0.41,4,15.5
3149,3137,3370,1365,995,39.5,43.2,2.91,3.09,0.4,4.2,16.9
3174,3152,3385,1350,1012,42.2,42.1,2.71,2.9,0.41,3.4,26
3179,3153,3389,1341,1011,43,41.2,2.62,2.87,0.53,5,32.9
3196,3167,3403,1318,1019,43,41,2.61,2.84,0.66,7.2,38.6
3196,3152,3393,1256,1005,43.7,39.8,2.65,2.86,0.73,8.5,56.5
3214,3149,3398,1127,973,48.8,30.6,2.67,2.87,0.69,5.5,61.5
3216,3138,3385,1104,958,49.6,28.4,2.37,2.46,0.43,4.6,22.4
3208,3134,3384,1093,946,49.4,27.2,2.27,2.35,0.4,5.8,16
3201,3112,3370,1048,928,48.6,25.6,2.21,2.27,0.34,4.9,11.5
3200,3105,3362,1029,915,48.5,24.7,2.23,2.29,0.34,5.1,11.1
3184,3088,3349,1018,893,48.2,23.4,2.18,2.23,0.33,5.3,11.2
3178,3074,3343,1009,892,48,23.2,2.15,2.2,0.3,5.3,13.6
3162,3055,3324,988,878,47.5,22.5,2.16,2.23,0.4,5.7,18.1
3152,3049,3319,981,871,47.4,22,2.18,2.28,0.4,3.8,18.8
3135,3032,3307,974,859,47.1,21.6,2.19,2.29,0.42,3.4,22.8
3133,3023,3298,960,846,47,21.5,2.44,2.64,0.71,2.9,46.6
3124,3020,3293,974,848,46.8,21.2,2.44,2.68,0.78,2.5,38
3092,2998,3275,972,846,46.3,21.9,2.56,2.85,0.74,2.6,36.7
3087,2992,3272,977,841,46.4,22,2.7,3.16,0.58,2.6,32.4
3048,3004,3274,1136,859,46.5,25.3,2.58,3.31,0.48,4.8,25.9
3036,3010,3274,1179,879,43.3,30.6,2.45,2.87,0.43,4.5,15.2
3048,3038,3285,1323,915,41.1,37.9,2.44,2.99,0.39,4.3,14
3049,3038,3287,1328,942,39.7,41.7,2.46,2.95,0.36,4.3,12.7
3056,3034,3286,1293,960,39.3,43.2,2.45,2.98,0.37,4.1,10.7
3067,3045,3295,1294,969,42,40.3,2.46,2.85,0.37,4.1,11.2
3073,3051,3304,1309,971,43.4,39.2,2.73,3.07,0.55,3.6,33.3
3070,3047,3298,1290,978,42.4,40.3,3.02,3.26,0.57,4.3,34.5
3065,3034,3290,1252,976,42.9,39.4,2.79,3,0.59,5.3,36.7
3057,3006,3275,1118,945,45.3,35.1,2.41,2.55,0.4,4.9,21.1
3061,2991,3268,1068,927,48,30.1,2.26,2.36,0.36,5.6,18.3
3050,2964,3248,1011,899,49.5,24.8,2.19,2.25,0.29,4.4,13.5
3034,2948,3232,993,890,49.3,23.8,2.24,2.3,0.36,4.2,13.6
2998,2915,3206,983,880,49,23.2,2.2,2.25,0.36,5.3,13.2
2926,2851,3151,968,867,48.4,22.3,2.24,2.29,0.34,4.8,13.6
2891,2822,3117,953,858,47.8,22.5,2.17,2.21,0.32,4.6,18.1
2823,2760,3059,936,853,47.7,21.7,2.17,2.22,0.33,3.8,21.3
2784,2731,3029,929,848,47.4,21.7,2.19,2.27,0.41,3.1,16.9
2704,2659,2964,918,838,47,22,2.22,2.31,0.41,2.9,18.9
2672,2625,2938,929,827,46.8,21.7,2.25,2.34,0.47,2.8,19.8
2608,2564,2881,934,829,46.5,22.5,2.26,2.35,0.45,2.4,20.1
2563,2547,2852,938,819,46.2,22.8,2.26,2.35,0.44,3.8,14.8
2540,2516,2820,936,822,46.1,23,2.27,2.37,0.49,4.3,16.2
2476,2454,2754,935,812,46,23.1,2.32,2.44,0.54,3.6,18.4
2452,2435,2730,973,818,46,23.5,2.36,2.49,0.54,2.6,24.1
2413,2407,2676,1051,823,44.9,26.9,2.41,2.52,0.45,2.6,26.5
2438,2426,2690,1085,842,44,29.4,2.38,2.51,0.49,2.4,30.3
2518,2504,2752,1190,862,43,33.1,2.36,2.54,0.57,2.5,26.8
2559,2548,2775,1242,883,42,36.3,2.34,2.52,0.48,2.5,31.6
2645,2630,2856,1265,925,41.7,39.5,2.35,2.51,0.43,2.8,27.4
2673,2657,2888,1256,930,41.9,40.2,2.34,2.49,0.42,2.3,36.3
2695,2673,2914,1242,935,42.4,39.9,2.33,2.5,0.44,2.3,31
2730,2704,2961,1150,919,45.4,35.3,2.33,2.45,0.46,2,19.9
2738,2714,2977,1107,912,46.4,32.8,2.3,2.41,0.41,2.3,20.7
2772,2736,3007,1049,887,47.8,28.6,2.31,2.41,0.4,2.7,20.7
2785,2737,3014,1040,879,48.1,27.3,2.31,2.41,0.42,1.6,21.2
2796,2745,3027,1005,865,47.7,26.1,2.28,2.36,0.44,1.4,26.7
2793,2741,3023,994,855,47.7,25.3,2.27,2.32,0.37,1.6,18.8
2780,2733,3015,978,848,47.6,25,2.24,2.28,0.34,2.3,16
2768,2714,3004,965,839,47.7,23.4,2.26,2.29,0.32,2.4,16.9
2758,2706,2999,964,842,47.5,23.5,2.24,2.31,0.36,1.7,25.9
2749,2704,2991,976,831,46.7,24.2,2.25,2.33,0.38,1.3,30.8
2745,2696,2985,969,827,46.5,24.4,2.25,2.36,0.41,1.6,29.7
2726,2679,2970,957,822,46.5,23.9,2.31,2.43,0.45,1.3,24
2718,2671,2961,947,817,46.7,23.7,2.37,2.45,0.42,1.2,33.3
2696,2652,2943,945,806,46.5,23.4,2.28,2.35,0.28,0.6,19
2686,2643,2934,951,814,46.5,23.4,2.31,2.42,0.41,0.4,19.2
2675,2637,2925,961,813,46.5,23.7,2.4,2.49,0.35,2.6,20.9
2659,2624,2912,980,809,46,24.4,2.49,2.58,0.36,3.8,18.6
2652,2627,2912,1010,809,45.7,25,2.55,2.65,0.42,4.7,15.5
2649,2639,2906,1119,831,44.1,29.5,2.4,2.48,0.38,5,13
2664,2654,2907,1200,851,43,32.5,2.39,2.5,0.45,4.9,15
2671,2658,2917,1167,860,43.4,34.5,2.39,2.52,0.47,2.8,15.8
2693,2683,2928,1215,871,44.3,34.2,2.52,2.65,0.55,2.8,23.9
2705,2693,2945,1165,885,44.1,35.6,2.4,2.51,0.49,2.6,38.7
2704,2688,2944,1137,881,45.5,33.9,2.29,2.36,0.55,3.3,20.3
2704,2685,2953,1102,875,45.9,32.3,2.29,2.36,0.45,3.4,25.3
2706,2677,2955,1055,858,47.5,28.5,2.33,2.43,0.54,3.1,28.7
2710,2678,2956,1028,850,47.6,27.8,2.32,2.43,0.57,3,34.1
2717,2684,2961,1018,840,47.7,26.4,2.29,2.39,0.5,3.3,18.1
2719,2683,2962,1018,838,47.5,26.4,2.3,2.4,0.46,3.7,14
2712,2673,2955,1002,827,47.2,26,2.25,2.32,0.45,3.7,15.2
2696,2654,2939,977,829,47.2,25.4,2.23,2.33,0.53,3.9,12.1
2688,2643,2931,965,820,47.4,24.4,2.22,2.28,0.48,3.7,13.1
2669,2625,2914,965,810,47.5,23.8,2.22,2.25,0.36,4.9,16.9
2657,2614,2900,959,811,47.2,23.8,2.2,2.28,0.42,5.4,15
2638,2596,2885,922,795,47.1,22.5,2.25,2.36,0.57,4.5,14.9
2629,2585,2876,924,791,47.3,22,2.42,2.54,0.6,3.8,29.3
2615,2559,2862,925,784,46.9,21.9,2.37,2.44,0.48,3.1,26.5
2605,2556,2848,921,790,46.8,22,2.3,2.37,0.4,2.8,33.8
2579,2537,2831,920,782,47,21.7,2.24,2.28,0.42,2.5,33.8
2559,2534,2823,926,783,46.8,21.9,2.3,2.36,0.42,2.7,21.4
2559,2534,2825,967,784,46.7,22.4,2.3,2.37,0.46,2.7,14.7
2534,2511,2796,1005,787,45.5,25.6,2.26,2.33,0.54,3.3,22.1
2519,2508,2777,1041,784,45.4,26.4,2.32,2.41,0.57,4.9,15.3
2493,2481,2743,1087,798,44.4,29.5,2.37,2.47,0.5,4.6,23.5
2479,2467,2724,1087,791,44.5,30.2,2.35,2.45,0.48,4.5,20.4
2504,2492,2733,1166,817,44.2,32.2,2.38,2.48,0.52,4.3,48.5
2525,2511,2736,1220,835,43.6,34.6,2.38,2.49,0.47,3.9,32.1
2547,2521,2732,1266,880,41.1,40.2,2.39,2.51,0.62,4.2,25.4
2526,2508,2732,1203,878,41.7,40.4,2.29,2.39,0.55,4.5,41
2510,2490,2724,1139,869,45.4,35.6,2.2,2.28,0.43,4.4,29.1
2503,2477,2735,1041,850,48.3,29.2,2.14,2.53,0.35,4.5,19.4
2508,2480,2744,1014,845,48.9,27.3,2.13,2.2,0.41,4.1,23
2507,2479,2750,964,830,49,25,2.11,2.18,0.3,3.4,22.7
2503,2473,2748,945,822,48.9,24,2.11,2.18,0.26,5.5,30
2504,2469,2746,929,807,48.6,22.4,2.11,2.2,0.26,5.5,22
2504,2466,2746,929,807,48.5,22.2,2.12,2.2,0.27,5.2,11.1
2500,2462,2738,919,805,48.2,22,2.14,2.22,0.25,4.9,26.9
2495,2460,2737,912,791,47.7,22,2.16,2.25,0.4,5.5,19.8
2497,2461,2740,919,793,47.7,21.7,2.23,2.41,0.47,3.8,22.3
2484,2450,2733,903,784,47.2,22.2,2.28,2.48,0.52,3,24.5
2481,2449,2731,912,781,47.2,21.9,2.25,2.36,0.47,2.7,20.3
2479,2442,2720,913,781,46.9,22.3,2.23,2.35,0.43,2.9,22.7
2479,2441,2719,916,781,46.7,22.3,2.3,2.45,0.46,4,18.8
2477,2442,2716,922,779,47,21.9,2.3,2.49,0.48,3.5,26
2472,2444,2709,961,776,46.7,22.6,2.33,2.52,0.53,2.7,27.6
2457,2432,2701,963,778,46.1,24.4,2.33,2.5,0.56,2.7,27
2482,2464,2706,1089,794,45,28,2.32,2.45,0.54,2.6,23.5
2481,2466,2704,1092,805,43.3,31.6,2.3,2.43,0.5,2.4,17
2502,2476,2698,1175,830,43,33.6,2.28,2.4,0.5,2.3,17.6
2482,2456,2668,1179,842,42.7,35.9,2.33,2.46,0.46,2.3,18.8
2495,2458,2640,1262,869,42.9,38.3,2.35,2.46,0.45,1.3,15.3
2495,2451,2641,1245,883,41.6,40.6,2.31,2.42,0.52,2.1,26.3
2491,2453,2669,1149,877,45.2,35,2.34,2.46,0.54,2.6,35.5
2476,2444,2677,1064,858,45.5,34,2.34,2.49,0.62,2.9,27.6
2479,2449,2697,1005,843,48.5,29,2.35,2.5,0.58,3.4,30
2490,2453,2715,947,825,49.5,24.7,2.27,2.42,0.68,3.3,30.9
2493,2456,2724,940,821,49.5,23.5,2.26,2.38,0.57,2.5,25.5
2493,2456,2726,915,805,49,22.1,2.2,2.29,0.41,1.7,16.8
2491,2449,2725,914,803,48.7,21.9,2.19,2.29,0.43,1.9,21
2492,2448,2724,896,791,48.4,21.4,2.2,2.28,0.4,4.8,16.2
2490,2449,2724,910,789,48.2,21.1,2.18,2.25,0.46,2.9,15.4
2485,2448,2726,907,791,48,21.2,2.17,2.27,0.43,1.6,19.1
2472,2431,2709,917,781,47.3,22,2.18,2.29,0.39,1,14.5
2474,2438,2704,915,784,47.1,22.2,2.23,2.34,0.42,0.8,16.6
2465,2428,2700,919,775,46.9,22.5,2.25,2.36,0.4,0.7,15.8
2464,2424,2698,923,771,46.8,22.5,2.26,2.36,0.4,1.7,19.4
2448,2410,2681,915,766,46.8,22.3,2.22,2.31,0.33,2.4,12.8
2446,2405,2678,923,769,46.8,22.3,2.26,2.36,0.32,2.2,18.3
2453,2427,2672,1047,780,47.1,23.9,2.26,2.37,0.37,1.9,13.5
2473,2442,2670,1116,796,44.9,28.6,2.23,2.35,0.43,1.7,14.4
2486,2453,2669,1164,811,43.4,32.2,2.26,2.39,0.44,1.9,18.6
2495,2464,2673,1185,832,41.5,37,2.25,2.37,0.5,2.1,30.6
2507,2475,2674,1213,847,42.5,36.5,2.24,2.38,0.44,1.9,19.2
2502,2467,2667,1197,851,42.8,36.9,2.23,2.38,0.53,1.8,19.5
2497,2466,2669,1174,859,44.1,36.1,2.26,2.39,0.56,0.9,38.3
2480,2447,2665,1118,849,44.1,35.7,2.26,2.42,0.52,2.2,39
2473,2441,2670,1075,841,46.2,31.8,2.29,2.46,0.51,2.3,30.7
2417,2384,2634,964,811,47.5,27.3,2.27,2.39,0.61,2.7,30.5
2408,2370,2627,925,795,48.7,24.2,2.23,2.33,0.46,1.4,25.9
2393,2352,2613,900,784,48.9,22.7,2.21,2.33,0.45,0.9,29.6
2356,2318,2559,873,768,48.6,21,2.22,2.31,0.45,1.5,24
2346,2301,2559,857,767,48.4,20.2,2.19,2.27,0.52,1.1,23.1
2325,2282,2540,851,752,48,20,2.18,2.26,0.46,1.3,24.3
2319,2278,2529,855,751,47.8,19.8,2.18,2.26,0.41,1.5,37.6
2306,2256,2510,842,742,47.1,20.4,2.18,2.28,0.47,0.7,33
2298,2252,2503,850,742,47,19.5,2.14,2.24,0.45,0.5,23.9
2287,2243,2494,857,741,47.2,19.6,2.15,2.25,0.36,1.3,22.4
2268,2220,2464,848,737,46.6,20,2.15,2.23,0.32,2,22.3
2259,2212,2455,846,736,46.6,19.9,2.15,2.22,0.36,2.2,16.3
2228,2177,2416,840,725,46.5,19.9,2.16,2.25,0.53,2,16.6
2233,2184,2420,847,727,46.4,19.5,2.15,2.24,0.32,1.6,16.9
2226,2169,2412,831,725,46.5,19.3,2.19,2.32,0.31,1.9,16.7
2222,2169,2407,840,720,46.4,19.2,2.17,2.27,0.3,1.8,12.1
2244,2193,2405,936,733,46.1,21.4,2.2,2.29,0.44,2,14.8
2254,2201,2398,992,747,45.1,25,2.14,2.2,0.3,1.9,14.4
2286,2224,2389,1078,757,44,27.8,2.15,2.23,0.31,1.8,19.2
2296,2230,2384,1107,783,42.2,33.6,2.13,2.2,0.27,1.6,13.9
2308,2242,2398,1111,784,42.1,33.7,2.15,2.22,0.27,1.6,13.9
2322,2256,2413,1123,800,43.7,34.8,2.2,2.28,0.26,0.7,11.9
2320,2254,2414,1110,799,44.3,33.8,2.26,2.36,0.3,1.2,12.5
2289,2225,2410,1017,791,45.9,30.1,2.25,2.34,0.34,1.6,19.7
2278,2221,2416,962,784,47,27.7,2.24,2.34,0.33,1.5,12
2264,2210,2425,892,762,48.2,23.4,2.2,2.28,0.34,1.6,13.5
2262,2201,2426,879,755,48.5,21.8,2.2,2.27,0.34,1.9,11.5
2260,2201,2427,869,752,48.3,21.1,2.19,2.25,0.37,1.8,18.4
2261,2201,2426,860,738,47.8,20.5,2.2,2.27,0.38,1.2,10.8
2262,2197,2426,857,741,47.5,20.5,2.19,2.34,0.36,1,9.4
2257,2190,2421,850,735,47.1,20.1,2.19,2.4,0.39,0.3,11.8
2255,2191,2419,839,726,46.9,19.9,2.21,2.34,0.42,0.5,20
2249,2182,2415,839,723,46.7,20,2.24,2.34,0.43,0.3,13.8
2250,2176,2413,821,720,46.6,19.4,2.22,2.32,0.43,0.7,14.4
2244,2174,2410,811,710,46.8,18.6,2.24,2.33,0.45,1.4,15.9
2224,2157,2392,788,704,46.8,17.8,2.25,2.35,0.44,1.4,16.2
2219,2147,2383,803,702,46.8,17.6,2.23,2.35,0.45,1.3,14.6
2204,2130,2361,799,697,46.6,17.5,2.24,2.35,0.38,1.4,12.2
2195,2128,2358,803,698,46.5,17.6,2.24,2.47,0.35,1.4,11
2176,2111,2327,829,692,46.1,18.4,2.21,2.35,0.37,1.3,18.4
2185,2118,2322,859,701,46,19.6,2.25,2.42,0.39,1.1,11.4
2200,2121,2287,976,720,44.5,23.8,2.23,2.51,0.33,1.6,9.4
2181,2100,2257,980,720,43.1,27.7,2.23,2.67,0.36,1.5,12.5
2179,2097,2254,979,714,42.8,27.9,2.16,2.26,0.31,0.6,19.2
2188,2100,2236,1027,722,43.2,29.2,2.22,2.3,0.31,0.6,17.1
2192,2101,2229,1054,725,44,29.8,2.19,2.27,0.29,0.3,6.4
2186,2094,2214,1039,727,43.4,30.8,2.16,2.22,0.28,1.1,8.5
2158,2065,2199,980,720,43.6,30.9,2.17,2.23,0.3,0.8,14.6
2128,2037,2205,888,710,45.5,26.5,2.15,2.21,0.28,0.9,14.6
2125,2035,2216,848,701,47.2,22.6,2.16,2.22,0.32,1.3,8.4
2116,2022,2220,816,682,47.7,19.8,2.16,2.23,0.33,1.6,8.6
2121,2024,2221,806,685,47.4,18.9,2.17,2.23,0.35,1.5,11
2118,2019,2222,793,681,47.6,18.4,2.15,2.2,0.33,1.5,14.9
2122,2027,2225,798,672,47,18.1,2.14,2.19,0.34,0.8,9.8
2118,2017,2219,784,671,46.8,18,2.16,2.21,0.37,0.7,6.5
