H2S,TVOC,CO,SO2,NOx,RH,T,H2S(GT),TVOC(GT),CO(GT),SO2(GT),NOx(GT)
1638,1210,1022,1029,428,48.5,17.8,2.18,2.33,0.41,2.6,27
1628,1199,1007,1025,427,48.2,17.8,2.2,2.39,0.48,2.7,22.3
1630,1197,1001,1033,419,48,17.6,2.17,2.34,0.43,2.8,21.3
1616,1181,980,1016,410,47.9,17.5,2.15,2.29,0.34,2.8,22.2
1631,1194,1004,1005,407,47.7,17.4,2.12,2.25,0.29,2.9,21.2
1609,1168,976,1001,400,47.3,17.2,2.12,2.24,0.26,2.7,19.1
1601,1156,958,994,395,47.1,17,2.12,2.23,0.25,2.6,21.8
1615,1168,975,1003,389,46.9,16.8,2.12,2.22,0.29,2.6,14.1
1698,1270,1100,1041,385,46.8,17,2.12,2.21,0.29,2.3,15
1674,1242,1056,1076,400,44.5,20.9,2.13,2.22,0.38,2.6,28.6
1667,1233,1041,1072,394,43.6,20.9,2.13,2.22,0.29,2.8,34.6
1715,1288,1100,1113,400,43.1,21.1,2.12,2.21,0.31,2.5,17.6
1781,1384,1199,1176,409,43.1,23.1,2.08,2.16,0.29,2.6,16.8
1762,1365,1188,1168,418,41,26.4,2.12,2.2,0.28,2.7,33
1800,1408,1234,1180,421,39.2,25.6,2.12,2.21,0.26,3,26
1778,1392,1215,1169,419,40,27,2.14,2.24,0.39,2.9,18.6
1725,1317,1138,1116,406,37.2,27.7,2.15,2.27,0.43,3,23
1658,1242,1060,1041,399,36.7,26,2.15,2.29,0.35,2.9,22.5
1652,1230,1057,1003,381,39.6,20.6,2.14,2.27,0.33,2.9,33.5
1648,1227,1052,1002,375,40.3,19.9,2.13,2.28,0.38,3.4,41.9
1628,1200,1011,1002,368,41.1,19.3,2.12,2.27,0.36,3,23.5
1628,1199,1008,997,359,41.3,19.2,2.13,2.3,0.45,2.9,32.8
1630,1200,1008,993,359,41.5,19,2.15,2.33,0.4,3.1,36
1648,1218,1040,995,350,42,18.6,2.12,2.28,0.38,3.1,44
1653,1223,1042,1002,350,42.3,18.5,2.13,2.29,0.4,3,42.3
1661,1227,1042,1015,351,43.1,18.5,2.13,2.29,0.41,3,27.2
1648,1211,1018,1012,351,43.5,18.4,2.12,2.27,0.44,3.1,22.6
1651,1215,1022,1019,351,44.1,18.5,2.13,2.27,0.44,3,26.8
